Producto,Precio Final,Precio Anterior,Cantidad Medida,Descuento
 Zanahoria De Colores  Alsuper    1 P... , $19.90, $34.90 ,1 PZ,43
 Raspberry Orange .    1 Pieza , $89.90, $129.90 ,1 PZ,31
 Brócoli Alsuper Por Kg , $44.90, $69.90 ,KG,36
 Tomate Cherry Constellation 283 Grs ... , $49.90,,283 GR,0
 Cereza Dulce En Bolsa Alsuper  Alsup... , $99.90, $149.90 ,KG,33
 Ejote Alsuper Por Kg , $49.90, $79.90 ,KG,38
 Elote Blanco Alsuper Por Pieza , $6.90, $11.90 ,1 PZ,42
 Cacahuate El Dorado El Dorado 454 G , $46.90, $59.90 ,1 PZ,22
 Cebollín Gourmet Temporada Verde  50... , $32.90,,1 PZ,0
 Nopal Penca Con Espina Alsuper Por K... , $49.90,,KG,0
 Germinado Soya Alsuper 1 Kg , $49.90,,KG,0
 Chícharo Alsuper Por Kg , $17.90,,KG,0
 Ensalada Italiana Mr Lucky 284 G , $42.90,,1 PZ,0
 Chayote Alsuper Por Kg , $39.90, $44.90 ,KG,11
 Ajo Extra Alsuper Por Kg , $169.90, $219.90 ,KG,23
 Eneldo Gourmet Temporada Verde  50 G , $32.90,,1 PZ,0
 Estragón Gourmet Temporada Verde    ... , $32.90,,1 PZ,0
 Blue Berry Alsuper De 170 G , $59.90, $114.90 ,1 PZ,48
 Lechuga Baby Fresh Garden     6 Piez... , $64.90,,6 PZ,0
 Mejorana Gourmet Temporada Verde  50... , $32.90,,1 PZ,0
 Menta Gourmet Temporada Verde  50 G , $32.90,,1 PZ,0
 Chile Seco Colorín 300 G Alsuper    ... , $69.90, $94.90 ,300 GR,26
 Chile Seco Pasado 300 G Alsuper    1... , $89.90, $169.90 ,300 GR,47
 Chile Chilaca Tostado Alsuper Por Kg , $49.90, $84.90 ,KG,41
 Orégano Gourmet Temporada Verde  50 ... , $32.90,,1 PZ,0
 Romero Gourmet Temporada Verde    1 ... , $32.90,,1 PZ,0
 Jugo De Naranja Natural Alsuper    1... , $69.90,,1 LT,0
 Jugo De Naranja Natural Alsuper 1.89... , $124.90,,1.89 LT,0
 Salvia Gourmet Temporada Verde  50 G , $32.90,,1 PZ,0
 Chile Poblano Tostado Alsuper Por Kg , $69.90, $99.90 ,KG,30
 Tomillo Gourmet Temporada Verde  50 ... , $32.90,,1 PZ,0
 Piña Miel Alsuper Por Kg , $19.90, $39.90 ,KG,50
 Jugo Naranja/zanahoria Natural Alsup... , $69.90,,1 LT,0
 Jugo De Naranja Con Zanahoria Natura... , $179.90,,1.89 LT,0
 Jugo Toronja Natural  Alsuper    1 L... , $89.90,,1 LT,0
 Chile Jalapeño Tostado Alsuper Por K... , $32.90, $52.90 ,KG,38
 Hongo Portobello Monte Blanco Con 25... , $32.90,,1 PZ,0
 Cebolla Blanca Alsuper Por Kg , $14.90, $36.90 ,KG,60
 Hoja De Aguacate Alsuper  40 G , $12.90,,1 PZ,0
 Chile Poblano Alsuper Por Kg , $39.90, $89.90 ,KG,56
 Aguacate Hass Alsuper Por Kg , $74.90, $99.90 ,KG,25
 Chile Serrano Alsuper Por Kg , $59.90, $79.90 ,KG,25
 Papa Blanca Primera Alsuper Por Kg , $36.90, $72.90 ,KG,49
 Tomate Bola Premium Alsuper Por Kg , $26.90, $49.90 ,KG,46
 Cebolla Blanca Premium Alsuper Por K... , $36.90, $59.90 ,KG,38
 Coctel Especial Mediano Alsuper 600 ... , $34.90,,1 PZ,0
 Coctel De Sandia Con Melón Alsuper P... , $36.90, $39.90 ,1 KG,8
 Coctel De Papaya Alsuper Por Kg , $59.90,,1 KG,0
 Coctel Jícama Y Pepino Alsuper Por K... , $36.90,,1 KG,0
 Chile Güerito Alsuper Por Kg , $59.90, $99.90 ,KG,40
 Chile  Manzano Alsuper Por Kg , $94.90,,KG,0
 Manzana Escolar En Bolsa  Alsuper Po... , $39.90, $69.90 ,KG,43
 Floretes De Coliflor Mr Lucky 454 G , $42.90,,1 PZ,0
 Sandia Sin Semilla Alsuper Por Kg , $9.90, $19.90 ,KG,50
 Chile Habanero Naranja Alsuper Por K... , $129.90, $149.90 ,KG,13
 Zarzamora Alsuper De 170 G , $59.90, $114.90 ,1 PZ,48
 Jugo De Naranja Natural Alsuper 473 ... , $39.90,,473 ML,0
 Tomate Saladet Alsuper Por Kg , $29.90, $49.90 ,KG,40
 Pina Miel Pelada En Contenedor Alsup... , $49.90, $59.90 ,KG,17
 Lechuga Romana Orgánica Mr Lucky Por... , $39.90,,1 PZ,0
 Lechuga Mantequilla Orgánica Mr Luck... , $26.90,,1 PZ,0
 Lechuga Orejona Orgánica Mr Lucky   ... , $29.90,,1 PZ,0
 Corazón De Apio Orgánico Mr Lucky 45... , $32.90,,1 PZ,0
 Fresa  Alsuper Por Pieza , $29.90, $79.90 ,1 PZ,63
 Zanahoria Orgánica  Campo Vivo 450 G , $36.90,,1 PZ,0
 Germinado De Soya En Bolsa Alsuper 3... , $36.90,,1 PZ,0
 Tomate Saladet Orgánico Campo Vivo 4... , $46.90,,1 PZ,0
